Main
Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company,Stock
12/29/2017,170.52,170.59,169.22,169.23,25643711,0,1,170.52,170.59,169.22,169.23,25643711,Apple,AAPL
12/28/2017,171,171.85,170.48,171.08,15997739,0,1,171,171.85,170.48,171.08,15997739,Apple,AAPL
12/27/2017,170.1,170.78,169.71,170.6,21672062,0,1,170.1,170.78,169.71,170.6,21672062,Apple,AAPL
12/26/2017,170.8,171.47,169.679,170.57,32968167,0,1,170.8,171.47,169.679,170.57,32968167,Apple,AAPL
12/22/2017,174.68,175.424,174.5,175.01,16052615,0,1,174.68,175.424,174.5,175.01,16052615,Apple,AAPL
12/21/2017,174.17,176.02,174.1,175.01,20356826,0,1,174.17,176.02,174.1,175.01,20356826,Apple,AAPL
12/20/2017,174.87,175.42,173.25,174.35,23000392,0,1,174.87,175.42,173.25,174.35,23000392,Apple,AAPL
12/19/2017,175.03,175.39,174.09,174.54,27078872,0,1,175.03,175.39,174.09,174.54,27078872,Apple,AAPL
12/18/2017,174.88,177.2,174.86,176.42,28831533,0,1,174.88,177.2,174.86,176.42,28831533,Apple,AAPL
12/15/2017,173.63,174.17,172.46,173.87,37054632,0,1,173.63,174.17,172.46,173.87,37054632,Apple,AAPL
12/14/2017,172.4,173.13,171.65,172.22,20219307,0,1,172.4,173.13,171.65,172.22,20219307,Apple,AAPL
12/13/2017,172.5,173.54,172,172.27,23142242,0,1,172.5,173.54,172,172.27,23142242,Apple,AAPL
12/12/2017,172.15,172.39,171.461,171.7,18945457,0,1,172.15,172.39,171.461,171.7,18945457,Apple,AAPL
12/11/2017,169.2,172.89,168.79,172.67,33092051,0,1,169.2,172.89,168.79,172.67,33092051,Apple,AAPL
12/8/2017,170.49,171,168.82,169.37,23096872,0,1,170.49,171,168.82,169.37,23096872,Apple,AAPL
12/7/2017,169.03,170.44,168.91,169.452,24469613,0,1,169.03,170.44,168.91,169.452,24469613,Apple,AAPL
12/6/2017,167.5,170.2047,166.46,169.01,28224357,0,1,167.5,170.2047,166.46,169.01,28224357,Apple,AAPL
12/5/2017,169.06,171.52,168.4,169.64,27008428,0,1,169.06,171.52,168.4,169.64,27008428,Apple,AAPL
12/4/2017,172.48,172.62,169.63,169.8,32115052,0,1,172.48,172.62,169.63,169.8,32115052,Apple,AAPL
12/1/2017,169.95,171.67,168.5,171.05,39590080,0,1,169.95,171.67,168.5,171.05,39590080,Apple,AAPL
11/30/2017,170.43,172.14,168.44,171.85,40172368,0,1,170.43,172.14,168.44,171.85,40172368,Apple,AAPL
11/29/2017,172.63,172.92,167.16,169.48,40788324,0,1,172.63,172.92,167.16,169.48,40788324,Apple,AAPL
11/28/2017,174.3,174.87,171.86,173.07,25468442,0,1,174.3,174.87,171.86,173.07,25468442,Apple,AAPL
11/27/2017,175.05,175.08,173.34,174.09,20536313,0,1,175.05,175.08,173.34,174.09,20536313,Apple,AAPL
11/24/2017,175.1,175.5,174.6459,174.97,14026519,0,1,175.1,175.5,174.6459,174.97,14026519,Apple,AAPL
11/22/2017,173.36,175,173.05,174.96,24997274,0,1,173.36,175,173.05,174.96,24997274,Apple,AAPL
11/21/2017,170.78,173.7,170.78,173.14,24875471,0,1,170.78,173.7,170.78,173.14,24875471,Apple,AAPL
11/20/2017,170.29,170.56,169.56,169.98,15974387,0,1,170.29,170.56,169.56,169.98,15974387,Apple,AAPL
